25-Jun,Cases,,Deaths
Dade,29676,Dade,946
Broward,13037,Palm  Beach,490
Palm  Beach,12359,Broward,381
Hillsborough,7941,Lee,152
Orange,7698,Pinellas,141
Pinellas,5030,Hillsborough,132
Lee,4642,Manatee,128
Duval,4077,Sarasota,96
Collier,3693,Polk,87
Polk,2764,Charlotte,76
Manatee,2351,Collier,70
Seminole,1955,Duval,64
Martin,1698,Orange,56
Volusia,1590,Volusia,53
Osceola,1434,St.Lucie,45
St.Lucie,1429,Escambia,44
 Pasco,1314,Clay,34
Escambia,1286,Hendry,24
Brevard,1282,Osceola,24
Sarasota,1214,Martin,23
Lake,958,Lake,22
Alachua,921,Suwannee,19
Hendry,851,Brevard,17
St .Johns,669, Pasco,17
Leon,663,Sumter,17
Charlotte,654,Indian River,16
Clay,577,Seminole,16
Desoto,539,Alachua,12
Indian River,530,Citrus,12
Okaloosa,528,Washington,12
Marion,519,Highlands,11
Santa Rosa,431,Desoto,10
Hardee,368,Marion,10
Suwannee,365,Santa Rosa,9
Gadsden,348,Walton,9
Jackson,341,Leon,8
Hamilton,314,St .Johns,7
Sumter,311,Calhoun,6
Okeechobee,305,Gadsden,6
Putnam,285,Okaloosa,6
Highlands,282,Putnam,6
Bay,273,Flagler,5
Flagler,266,Hernando,5
Hernando,253,Baker,4
Columbia,248,Bay,4
Citrus,240,Dixie,4
Liberty,220,Jefferson,4
Monroe,187,Monroe,4
Walton,177,Columbia,3
Madison,166,Hardee,3
Levy,165,Madison,3
Glades,154,Bradford,2
Holmes,148,Hamilton,2
Nassau,138,Jackson,2
Washington,99,Union,2
Gilchrist,89,Glades,1
Calhoun,79,Levy,1
Bradford,76,Liberty,1
Taylor,70,Nassau,1
Dixie,63,Wakulla,1
Union,48,Franklin,0
Baker,47,Gilchrist,0
Wakulla,44,Gulf,0
Jefferson,39,Holmes,0
Lafayette,27,Lafayette,0
Gulf,15,Okeechobee,0
Unknown,9,Taylor,0
Franklin,5,Unknown,0
,120574,,3366
,,,
